text,translation
"['Io voglio del ver la mia donna laudareed asembrarli la rosa e lo giglio:più che stella dïana splende e pare,e ciò ch’è lassù bello a lei somiglio.']","['Voglio in vero lodare la mia donnae paragonarle la rosa e il giglioè più luminosa della stella che sorge all’alba ,e ciò che in cielo è bello a lei assomiglio.']"
"['Verde river’ a lei rasembro e l’âre,tutti color di fior’, giano e vermiglio,oro ed azzurro e ricche gioi per dare:medesmo Amor per lei rafina meglio.']","['Le paragono una verde campagna e l’aria,tutti i colori dei fiori, il giallo e il rosso,l’oro e l’azzurro e i ricchi gioielli che si donano:perfino Amore grazie a lei diviene più puro.']"
"['Passa per via adorna, e sì gentilech’abassa orgoglio a cui dona salute,e fa ’l de nostra fé se non la crede;']",['Passa per la via così bella e nobileche abbassa l’orgoglio a chi dona il suo salutoe lo converte se non è credente :']
['e no·lle pò apressare om che sia vile;ancor ve dirò c’ha maggior vertute:null’ om pò mal pensar fin che la vede.'],['Nessuno che sia vile le si può avvicinareanzi vi dirò che ha un potere ancora più grandenessuno può mal pensare finché la vede.']
"['Lo vostro bel saluto e ’l gentil sguardoche fate quando v’encontro, m’ancide:']","['Il vostro bel saluto e il gentile sguardoche fate quando vi incontro, mi uccide :']"
"['Amor m’assale e già non ha reguardos’elli face peccato over merzede,ché per mezzo lo cor me lanciò un dardoched oltre ’n parte lo taglia e divide;']",['Amore mi assale e non badase fa peccato o dà ricompensaperché attraverso il cuore mi lanciò una frecciache da parte a parte lo taglia e divide ;']
"['parlar non posso, ché ’n pene io ardosì come quelli che sua morte vede.']",['non posso parlare ; perché in pena io ardocome colui che vede la propria morte.']
"['Per li occhi passa come fa lo trono,che fer’ per la finestra de la torree ciò che dentro trova spezza e fende:']","['Passa per gli occhi come fa il fulmine,che colpisce attraverso la finestra della torree spezza e taglia ciò che trova dentro :']"
"['remagno como statüa d’ottono,ove vita né spirto non ricorre,se non che la figura d’omo rende.']","['rimango come una statua d’ottone,dove non scorre né vita né spirito ,se non che ha figura di uomo.']"
"['Vedut’ ho la lucente stella diana,ch’apare anzi che ’l giorno rend’ albore,c’ha preso forma di figura umana;']","['Ho visto la spendente stella del mattinoche appare prima che spunti il giorno,e che ha preso forma umana ;']"
"['sovr’ ogn’ altra me par che dea splendore:viso de neve colorato in grana,occhi lucenti, gai e pien’ d’amore;']","['più di ogni altra mi sembra che dia splendore :viso bianco come la neve colorato di carminio,occhi lucenti, gai e pieni di amore ;']"
['non credo che nel mondo sia cristianasì piena di biltate e di valore.'],['non credo che al mondo via sia donnacosi piena di bellezza e valore.']
['Ed io dal suo valor son assalitocon sì fera battaglia di sospirich’avanti a lei de dir non seri’ ardito.'],['E io dal suo valore sono assalitocon così crudele battaglia di sospiriche di fronte a lei non avrei il coraggio di parlare.']
"['Così conoscess’ ella i miei disiri!ché, senza dir, de lei seria servitoper la pietà ch’avrebbe de’ martiri.']","['Oh se lei conoscesse i miei desideri !perché, senza dire, da lei sarei ricompensatoper la pietà che avrebbe delle mie sofferenze.']"
"['Dolente, lasso, già non m’asecuro,ché tu m’assali, Amore, e mi combatti:']","['“Ahimè, ahimè non posso certo sentirmi in pace”poiché tu, Amore, mi assali e mi combatti :']"
"['diritto al tuo rincontro in pie’ non duro,ché mantenente a terra mi dibatti,come lo trono che fere lo muro']","['Dritto in piedi di faccia a te non resisto,perché subito mi abbatti a terra,come il fulmine che colpisce il muro']"
"['e ’l vento li arbor’ per li forti tratti.Dice lo core agli occhi: «Per voi moro»,e li occhi dice al cor: «Tu n’hai desfatti».']","['e il vento (che abbatte) gli alberi a forti scossoni.Il cuore dice agli occhi : “Muoio a causa vostra”,e gli occhi dicono al cuore : “Tu ci hai uccisi”.']"
"['Apparve luce, che rendé splendore,che passao per li occhi e ’l cor ferìo,ond’io ne sono a tal condizïone:']","['Apparve una luce splendente,che passò per gli occhi e colpì il cuore,cosicché io sono in tale condizione:']"
"['ciò furo li belli occhi pien’ d’amore,che me feriro al cor d’uno disiocome si fere augello di bolzone.']","['Fu la luce dei begli occhi pieni di amore,che mi colpì il cuore di desideriocome si colpisce un uccello di bolzone.']"
"['Chi vedesse a Lucia un var capuzzoin cò tenere, e como li sta gente,e’ non è om de qui ’n terra d’Abruzzoche non ne ’namorasse coralmente.']","['Non c’è nessuno di qui della terra d’Abruzzo,che se vedesse un cappuccio di pellicciain capo a Lucia e come le sta bene,potrebbe non innamorarsene sinceramente.']"
"['Par, sì lorina, figliuola d’un tuzzode la Magna o de Franza veramente;e non se sbatte cò de serpe mozzocome fa lo meo core spessamente.']","['Sembra, così “impellicciata”,figlia di un tedescodella Germania o della Francia;e la testa mozza di una serpenon si dibatte come fa continuamente il mio cuore :']"
"['Ah, prender lei a forza, ultra su’ grato,e bagiarli la bocca e ’l bel visaggioe li occhi suoi, ch’èn due fiamme de foco!']","['Ah, prenderla con la forza, contro la sua volontà,e baciarle la bocca e il bel visoe gli occhi suoi, che sono due fiamme di fuoco !']"
"['Ma pentomi, però che m’ho pensatoch’esto fatto poria portar dannaggioch’altrui despiaceria forse non poco']","['Ma mi pento, perché pensoche questo fatto potrebbe provocare un dannoche ad altri dispiacerebbe non poco.']"
